SULIT,,,,,,,,,,,,,,,

" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 2000,,,,,,,,,,,,,,,


KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
LAIN - LAIN KECURIAN,90,1786,2957,3083,5126,6325,1037,1115,5392,387,805,665,2296,2146,33210
JUM JEN. HARTABENDA,418,6948,10633,11902,20204,37097,3764,4221,20934,2216,3716,3093,4537,6396,136079
JUMLAH JENAYAH INDEKS,469,7610,11699,13477,24491,43285,4270,4618,24320,2468,3949,3523,5298,6924,156401
,NOTA *,,,,,,,,,,,,,,
,,KES CURI RAGUT BERMULA PADA TAHUN 2001,,,,,,,,,,,,,
SULIT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SULIT,,,,,,,,,,,,,,,

" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 2002,,,,,,,,,,,,,,,


KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,1,12,47,35,52,117,21,14,77,6,11,12,77,34,516
SAMUN B'KAWAN B'S/API,,1,1,8,9,23,3,3,12,,,,,13,73
SAMUN B'KAWAN  T/B'S/API,,24,47,76,380,788,42,36,242,3,2,20,19,25,1704
SAMUN BERSENJATAPI,,6,31,41,131,107,4,1,91,2,,3,1,7,425
SAMUN TANPA B'S/API,12,298,640,831,3080,4195,284,158,2109,48,49,128,233,138,12203
ROGOL,13,131,69,103,121,256,60,49,239,67,44,73,117,76,1418
MENCEDERAKAN ,37,295,309,503,548,1171,104,120,522,132,84,190,180,245,4440
JUM JEN. KEKERASAN,63,767,1144,1597,4321,6657,518,381,3292,258,190,426,627,538,20779
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,15,465,528,679,471,2243,373,257,752,109,159,170,315,285,6821
PECAH RUMAH MALAM,110,1362,1412,1813,1501,4539,728,586,2724,372,469,581,908,1339,18444
CURI MOTOLORI / VAN,4,59,120,180,762,2023,60,42,598,29,30,83,245,335,4570
CURI MOTOKAR,9,162,258,219,2738,2940,136,123,1187,92,72,134,182,292,8544
CURI MOTOSIKAL,164,2987,3611,3505,6492,14645,1189,1124,7955,1126,994,1459,264,1622,47137
CURI RAGUT,33,886,1723,808,3182,3629,233,340,2722,99,148,117,170,550,14640
LAIN - LAIN KECURIAN,95,1439,2707,2213,4096,6627,732,879,3963,330,322,543,2070,2027,28043
JUM JEN. HARTABENDA,430,7360,10359,9417,19242,36646,3451,3351,19901,2157,2194,3087,4154,6450,128199
JUMLAH JENAYAH INDEKS,493,8127,11503,11014,23563,43303,3969,3732,23193,2415,2384,3513,4781,6988,148978
,,,,,,,,,,,,,,,

SULIT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SULIT,,,,,,,,,,,,,,,

" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 2003,,,,,,,,,,,,,,,


KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,1,27,39,38,58,150,21,12,80,8,9,19,61,42,565
SAMUN B'KAWAN B'S/API,,2,,3,8,16,1,2,6,,,,1,6,45
SAMUN B'KAWAN  T/B'S/API,,17,44,83,412,844,53,31,337,4,3,25,20,47,1920
SAMUN BERSENJATAPI,3,28,40,41,93,87,13,1,56,4,,2,1,12,381
SAMUN TANPA B'S/API,9,273,757,906,3227,4947,418,187,2562,28,27,139,268,215,13963
ROGOL,11,131,69,115,72,290,75,58,298,61,41,69,111,70,1471
MENCEDERAKAN ,37,264,360,423,491,1144,156,146,526,147,101,204,128,241,4368
JUM JEN. KEKERASAN,61,742,1309,1609,4361,7478,737,437,3865,252,181,458,590,633,22713
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,14,399,536,579,784,2363,344,184,643,75,129,144,324,410,6928
PECAH RUMAH MALAM,119,1523,1719,1452,1650,4687,704,442,2721,313,551,607,970,1403,18861
CURI MOTOLORI / VAN,3,80,125,151,914,2290,70,61,842,36,44,78,273,584,5551
CURI MOTOKAR,7,258,389,303,2217,2928,129,117,1259,147,114,100,228,341,8537
CURI MOTOSIKAL,197,3068,4105,3512,6553,14714,1195,1229,8636,1767,1433,1605,274,1924,50212
CURI RAGUT,17,943,1736,779,4262,4149,338,331,2031,86,231,190,159,546,15798
LAIN - LAIN KECURIAN,111,1963,2685,1925,3822,7262,912,692,2938,311,471,711,1885,1950,27638
JUM JEN. HARTABENDA,468,8234,11295,8701,20202,38393,3692,3056,19070,2735,2973,3435,4113,7158,133525
JUMLAH JENAYAH INDEKS,529,8976,12604,10310,24563,45871,4429,3493,22935,2987,3154,3893,4703,7791,156238
,,,,,,,,,,,,,,,

SULIT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
