JUM JEN. KEKERASAN,41,259,931,867,2477,1986,400,219,977,141,80,270,535,304,9487
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,13,169,396,469,849,1123,235,88,405,88,42,131,215,68,4291
PECAH RUMAH MALAM,143,632,1125,1694,2144,2430,640,368,1431,368,194,687,690,672,13218
CURI MOTOLORI / VAN,0,7,32,36,190,130,27,12,194,19,6,23,108,28,812
CURI MOTOKAR,6,40,178,158,917,497,70,20,349,8,15,61,135,91,2545
CURI MOTOSIKAL,59,421,907,805,2103,1710,283,183,1570,163,71,432,95,638,9440
CURI BASIKAL,47,172,329,461,115,480,57,64,61,30,11,77,14,121,2039
LAIN - LAIN KECURIAN,168,711,2796,2319,6045,3569,798,601,1747,348,139,769,1177,2889,24076
JUM JEN. HARTABENDA,436,2152,5763,5942,12363,9939,2110,1336,5757,1024,478,2180,2434,4507,56421
JUMLAH JENAYAH INDEKS,477,2411,6694,6809,14840,11925,2510,1555,6734,1165,558,2450,2969,4811,65908
,,,,,,,,,,,,,,,





,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,

" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,,
TAHUN 1992,,,,,,,,,,,,,,,,


KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH,
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,1,11,36,36,41,81,9,5,40,6,3,9,97,35,410
SAMUN B'KAWAN B'S/API,1,1,3,0,11,9,3,0,6,1,0,1,20,1,57
SAMUN B'KAWAN  T/B'S/API,2,9,46,27,133,160,11,5,77,2,0,6,4,5,487
SAMUN BERSENJATAPI,2,3,54,24,250,130,18,6,61,2,0,3,72,1,626
SAMUN TANPA B'S/API,5,67,704,470,1544,1020,102,74,574,27,17,77,67,43,4791
ROGOL,12,39,54,42,71,106,35,40,96,38,19,36,182,34,804
MENCEDERAKAN ,20,100,298,268,434,606,136,74,375,84,48,81,541,157,3222
JUM JEN. KEKERASAN,43,230,1195,867,2484,2112,314,204,1229,160,87,213,983,276,10397
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,24,165,448,536,915,1208,185,115,694,174,86,120,203,94,4967
PECAH RUMAH MALAM,133,744,1457,1744,2437,3036,596,438,2386,422,404,562,696,725,15780
CURI MOTOLORI / VAN,1,7,29,12,217,251,13,15,181,10,3,23,82,68,912
CURI MOTOKAR,2,41,122,97,1031,635,67,46,363,27,13,71,131,100,2746
CURI MOTOSIKAL,88,348,1248,887,2455,2296,242,163,1603,175,128,242,156,640,10671
CURI BASIKAL,35,242,371,436,143,423,64,97,186,53,45,67,27,148,2337
LAIN - LAIN KECURIAN,174,797,3518,1925,5681,3960,671,498,3056,410,296,515,1146,2825,25472,
JUM JEN. HARTABENDA,457,2344,7193,5637,12879,11809,1838,1372,8469,1271,975,1600,2441,4600,62885,
JUMLAH JENAYAH INDEKS,500,2574,8388,6504,15363,13921,2152,1576,9698,1431,1062,1813,3424,4876,73282,
,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,

" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,,
TAHUN 1993,,,,,,,,,,,,,,,,


KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,0,7,28,42,62,84,17,6,46,6,2,15,82,35,432
SAMUN B'KAWAN B'S/API,1,1,3,2,12,13,1,0,7,0,0,0,45,3,88
SAMUN B'KAWAN  T/B'S/API,2,5,55,30,140,164,22,7,77,2,0,5,2,4,515
SAMUN BERSENJATAPI,1,12,61,42,312,168,26,14,122,6,2,12,123,6,907
SAMUN TANPA B'S/API,7,87,593,443,1646,1328,125,68,821,29,27,71,52,59,5356
ROGOL,13,51,52,58,91,140,51,45,97,37,44,42,101,47,869
MENCEDERAKAN ,14,160,266,265,498,542,164,62,388,121,41,64,184,156,2925
JUM JEN. KEKERASAN,38,323,1058,882,2761,2439,406,202,1558,201,116,209,589,310,11092
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,26,171,429,654,763,1377,223,121,836,175,207,104,271,146,5503
PECAH RUMAH MALAM,141,928,1358,1988,2269,3332,723,402,2463,547,566,446,951,1035,17149
CURI MOTOLORI / VAN,0,15,25,19,219,239,19,14,212,12,8,30,126,84,1022
CURI MOTOKAR,3,31,103,77,935,636,44,49,339,34,16,56,234,104,2661
CURI MOTOSIKAL,66,423,1098,996,2821,2758,291,227,2069,290,147,296,193,756,12431
CURI BASIKAL,42,203,347,507,134,526,90,103,210,74,54,91,22,155,2558
LAIN - LAIN KECURIAN,169,938,3304,2018,5654,4245,931,456,3465,576,569,436,1641,3003,27405
JUM JEN. HARTABENDA,447,2709,6664,6259,12795,13113,2321,1372,9594,1708,1567,1459,3438,5283,68729
JUMLAH JENAYAH INDEKS,485,3032,7722,7141,15556,15552,2727,1574,11152,1909,1683,1668,4027,5593,79821
,,,,,,,,,,,,,,,






,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1994,,,,,,,,,,,,,,,


KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,0,12,19,24,48,77,9,3,41,3,2,9,105,25,377
SAMUN B'KAWAN B'S/API,0,2,0,0,14,16,0,0,10,0,0,0,24,2,68
SAMUN B'KAWAN  T/B'S/API,0,15,17,36,119,214,14,13,101,4,0,7,4,15,559
SAMUN BERSENJATAPI,2,7,29,47,154,149,7,4,115,4,0,4,89,6,617
SAMUN TANPA B'S/API,10,143,385,354,1393,1220,101,56,923,34,29,60,69,51,4828
ROGOL,11,85,60,76,69,147,43,64,126,45,47,49,101,42,965
MENCEDERAKAN ,22,141,230,279,420,559,116,53,413,94,42,85,225,167,2846
JUM JEN. KEKERASAN,45,405,740,816,2217,2382,290,193,1729,184,120,214,617,308,10260
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,16,192,320,625,716,1286,274,103,681,179,158,105,253,247,5155
PECAH RUMAH MALAM,141,831,975,1802,2194,3375,770,277,2298,522,611,429,1186,986,16397
CURI MOTOLORI / VAN,2,5,29,16,225,271,18,22,173,16,5,13,99,98,992
CURI MOTOKAR,1,31,93,69,870,619,51,43,332,23,9,54,184,80,2459
CURI MOTOSIKAL,89,415,1091,1043,3424,3163,393,230,2534,249,183,315,136,710,13975
CURI BASIKAL,19,200,211,486,103,398,72,85,159,52,62,47,18,146,2058
LAIN - LAIN KECURIAN,118,878,2430,1978,4445,3923,839,332,3283,553,803,442,1765,2849,24638
JUM JEN. HARTABENDA,386,2552,5149,6019,11977,13035,2417,1092,9460,1594,1831,1405,3641,5116,65674
JUMLAH JENAYAH INDEKS,431,2957,5889,6835,14194,15417,2707,1285,11189,1778,1951,1619,4258,5424,75934
,,,,,,,,,,,,,,,







,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1995,,,,,,,,,,,,,,,


KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,0,10,19,24,36,95,11,6,41,4,4,14,107,25,396
SAMUN B'KAWAN B'S/API,0,0,1,4,7,9,1,0,10,0,0,0,51,2,85
SAMUN B'KAWAN  T/B'S/API,0,7,25,31,101,246,18,11,89,1,0,5,10,5,549
SAMUN BERSENJATAPI,1,7,31,34,178,135,11,8,129,0,0,6,63,3,606
SAMUN TANPA B'S/API,8,97,440,380,1332,1357,171,74,699,21,13,64,82,71,4809
ROGOL,15,95,52,99,86,171,48,67,132,28,27,52,106,51,1029
MENCEDERAKAN ,19,179,226,385,476,686,118,107,353,90,42,65,222,143,3111
JUM JEN. KEKERASAN,43,395,794,957,2216,2699,378,273,1453,144,86,206,641,300,10585
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,19,185,363,564,793,1497,216,191,615,191,212,105,272,261,5484
PECAH RUMAH MALAM,96,866,883,1719,2130,3803,719,413,2202,554,558,386,1091,1196,16616
CURI MOTOLORI / VAN,2,9,17,23,273,364,34,28,167,7,4,24,175,59,1186
CURI MOTOKAR,5,36,117,86,994,715,41,33,290,19,9,52,235,96,2728
CURI MOTOSIKAL,60,453,1187,1282,3537,4059,458,333,3263,240,235,399,211,656,16373
CURI BASIKAL,18,157,130,390,87,350,46,134,134,56,50,65,31,121,1769
LAIN - LAIN KECURIAN,111,975,2275,2186,5531,4728,652,652,3280,511,641,427,1891,2582,26442
JUM JEN. HARTABENDA,311,2681,4972,6250,13345,15516,2166,1784,9951,1578,1709,1458,3906,4971,70598
JUMLAH JENAYAH INDEKS,354,3076,5766,7207,15561,18215,2544,2057,11404,1722,1795,1664,4547,5271,81183
,,,,,,,,,,,,,,,






,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1996,,,,,,,,,,,,,,,


KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,1,16,22,35,51,102,14,8,62,7,8,15,82,24,447
SAMUN B'KAWAN B'S/API,0,0,0,2,9,4,0,0,8,0,0,1,21,0,45
SAMUN B'KAWAN  T/B'S/API,1,17,61,39,174,304,38,20,131,3,2,14,16,11,831
SAMUN BERSENJATAPI,2,9,33,39,161,87,12,11,141,2,0,6,60,3,566
SAMUN TANPA B'S/API,3,118,567,404,1601,1703,189,99,702,26,19,44,93,64,5632
ROGOL,14,104,57,109,85,166,62,56,138,44,41,81,91,50,1098
MENCEDERAKAN ,31,206,314,444,492,814,112,169,422,105,43,120,231,168,3671
JUM JEN. KEKERASAN,52,470,1054,1072,2573,3180,427,363,1604,187,113,281,594,320,12290
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,22,339,491,646,789,1514,253,175,623,108,138,105,240,192,5635
PECAH RUMAH MALAM,141,1072,1033,1819,2068,3982,869,513,2312,498,550,412,842,1082,17193
CURI MOTOLORI / VAN,1,24,27,40,345,408,35,20,159,18,4,19,171,53,1324
CURI MOTOKAR,1,42,146,155,1069,763,59,58,317,13,11,44,183,68,2929
CURI MOTOSIKAL,82,646,1518,1428,4235,5529,671,443,4489,253,251,444,220,723,20932
CURI BASIKAL,29,145,133,248,96,303,49,141,143,35,43,55,27,93,1540
LAIN - LAIN KECURIAN,140,989,2165,2191,4920,5422,763,644,3282,417,519,481,1664,2412,26009
JUM JEN. HARTABENDA,416,3257,5513,6527,13522,17921,2699,1994,11325,1342,1516,1560,3347,4623,75562
JUMLAH JENAYAH INDEKS,468,3727,6567,7599,16095,21101,3126,2357,12929,1529,1629,1841,3941,4943,87852
,,,,,,,,,,,,,,,








,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1997,,,,,,,,,,,,,,,


KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,2,7,21,37,47,120,23,6,85,6,2,17,127,40,540
SAMUN B'KAWAN B'S/API,,1,1,6,6,7,2,3,9,,,1,5,2,43
SAMUN B'KAWAN  T/B'S/API,,18,35,97,171,403,28,25,223,1,1,8,47,22,1079
SAMUN BERSENJATAPI,1,18,65,49,151,81,12,18,155,2,,12,23,2,589
SAMUN TANPA B'S/API,6,167,565,594,1858,2178,224,162,1105,29,34,81,186,127,7316
ROGOL,12,121,74,133,96,225,58,59,190,79,73,84,133,92,1429
MENCEDERAKAN ,27,252,403,652,554,1765,144,244,724,175,106,144,420,261,5871
JUM JEN. KEKERASAN,48,584,1164,1568,2883,4779,491,517,2491,292,216,347,941,546,16867
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,19,346,699,776,983,2422,299,187,800,236,236,146,306,261,7716
PECAH RUMAH MALAM,143,1398,1432,2083,2195,5342,893,637,3235,707,782,544,1051,1202,21644
CURI MOTOLORI / VAN,,20,68,110,329,700,57,22,205,7,4,25,188,66,1801
CURI MOTOKAR,3,58,148,151,1120,1009,104,58,327,33,6,48,150,84,3299
CURI MOTOSIKAL,87,945,2124,1831,4819,7090,1122,587,5850,302,356,620,195,868,26796
CURI BASIKAL,40,174,208,384,63,382,54,111,151,78,62,66,51,92,1916
LAIN - LAIN KECURIAN,106,1555,4384,2726,7229,9339,1219,1281,5677,883,799,656,2443,2788,41085
JUM JEN. HARTABENDA,398,4496,9063,8061,16738,26284,3748,2883,16245,2246,2245,2105,4384,5361,104257
JUMLAH JENAYAH INDEKS,446,5080,10227,9629,19621,31063,4239,3400,18736,2538,2461,2452,5325,5907,121124
,,,,,,,,,,,,,,,

SULIT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SULIT,,,,,,,,,,,,,,,

" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1998,,,,,,,,,,,,,,,


KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,1,19,24,47,58,150,27,11,99,6,11,12,129,35,629
SAMUN B'KAWAN B'S/API,,1,3,4,24,8,1,,15,,,1,6,1,64
SAMUN B'KAWAN  T/B'S/API,1,15,69,67,244,467,34,41,369,1,6,11,31,29,1385
SAMUN BERSENJATAPI,3,21,27,36,244,147,8,2,217,,1,7,26,2,741
SAMUN TANPA B'S/API,12,192,599,710,2351,2672,234,179,1876,23,84,106,250,230,9518
ROGOL,28,110,63,123,101,251,76,52,201,61,67,125,176,105,1539
MENCEDERAKAN ,42,259,280,616,605,1685,157,195,719,125,146,212,454,251,5746
JUM JEN. KEKERASAN,87,617,1065,1603,3627,5380,537,480,3496,216,315,474,1072,653,19622
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,17,457,691,789,893,2869,355,273,1102,206,342,156,386,376,8912
PECAH RUMAH MALAM,93,1561,1604,2630,2367,6525,1031,948,3764,609,1051,659,1213,1504,25559
CURI MOTOLORI / VAN,1,20,76,128,445,990,53,25,357,2,11,38,306,127,2579
CURI MOTOKAR,6,57,167,143,1434,1296,109,105,597,31,16,100,337,207,4605
CURI MOTOSIKAL,82,1183,2786,2588,6216,10770,1194,774,7699,436,610,992,282,1154,36766
CURI BASIKAL,47,196,244,413,108,335,62,126,157,38,101,42,80,206,2155
LAIN - LAIN KECURIAN,147,2263,5360,4119,9938,13475,1818,2038,7985,950,1456,1011,4069,3981,58610
JUM JEN. HARTABENDA,393,5737,10928,10810,21401,36260,4622,4289,21661,2272,3587,2998,6673,7555,139186
JUMLAH JENAYAH INDEKS,480,6354,11993,12413,25028,41640,5159,4769,25157,2488,3902,3472,7745,8208,158808
,,,,,,,,,,,,,,,

SULIT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SULIT,,,,,,,,,,,,,,,

" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1999,,,,,,,,,,,,,,,


KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,,12,29,50,68,134,8,6,96,9,7,9,121,39,588
SAMUN B'KAWAN B'S/API,,4,2,5,12,20,1,,21,,,,7,2,74
SAMUN B'KAWAN  T/B'S/API,1,14,50,82,331,554,47,22,318,1,6,10,21,25,1482
SAMUN BERSENJATAPI,,13,32,51,242,146,10,3,174,2,1,3,22,1,700
SAMUN TANPA B'S/API,12,227,695,829,3366,3061,245,229,2214,54,82,122,224,134,11494
ROGOL,14,127,71,146,67,222,81,44,230,33,75,93,148,106,1457
MENCEDERAKAN ,30,287,223,646,579,1379,85,140,861,132,116,201,360,271,5310
JUM JEN. KEKERASAN,57,684,1102,1809,4665,5516,477,444,3914,231,287,438,903,578,21105
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,20,460,596,753,971,3328,514,286,1173,147,279,199,300,375,9401
PECAH RUMAH MALAM,158,1575,1665,2750,2139,7399,978,1057,4188,513,791,640,1124,1558,26535
CURI MOTOLORI / VAN,2,31,81,165,632,1474,70,47,364,7,10,67,396,139,3485
CURI MOTOKAR,2,90,183,214,2161,1910,123,100,824,29,26,71,286,177,6196
CURI MOTOSIKAL,82,1592,2706,3093,6669,13791,1028,987,7212,663,1099,1064,436,1483,41905
CURI BASIKAL,45,101,152,331,84,271,32,106,111,12,8,34,45,151,1483
LAIN - LAIN KECURIAN,151,2263,4603,4855,12868,13047,1399,2150,7831,845,795,985,3556,3605,58953
JUM JEN. HARTABENDA,460,6112,9986,12161,25524,41220,4144,4733,21703,2216,3008,3060,6143,7488,147958
JUMLAH JENAYAH INDEKS,517,6796,11088,13970,30189,46736,4621,5177,25617,2447,3295,3498,7046,8066,169063
,,,,,,,,,,,,,,,

SULIT,,,,,,,,,,,,,,,
