,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1980,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
SAMUN TANPA B'S/API,0,100,1180,478,874,538,202,69,397,13,35,114,23,53,4076
ROGOL,0,34,29,37,34,52,12,13,38,18,14,22,31,26,360
MENCEDERAKAN ,0,97,157,253,147,234,128,51,288,77,41,106,138,238,1955
JUM JEN. KEKERASAN,0,310,1567,864,1247,990,398,148,844,129,99,294,273,347,7510
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,0,163,346,578,718,856,291,147,810,57,82,225,95,66,4434
PECAH RUMAH MALAM,0,1290,1687,2080,1885,2276,870,532,1768,449,443,977,768,272,15297
CURI MOTOLORI / VAN,0,8,5,24,56,54,21,3,43,0,4,25,12,2,257
CURI MOTOKAR,0,71,115,196,520,260,47,25,157,7,3,51,54,51,1557
CURI MOTOSIKAL,0,812,658,664,1080,914,369,194,1181,191,138,401,26,145,6773
CURI BASIKAL,0,842,1330,1469,404,548,254,301,512,165,194,255,21,795,7090
LAIN - LAIN KECURIAN,0,1974,3233,3471,4463,3230,1326,845,2910,456,529,1339,1010,3162,27948
JUM JEN. HARTABENDA,0,5160,7374,8482,9126,8138,3178,2047,7381,1325,1393,3273,1986,4493,63356
JUMLAH JENAYAH INDEKS,0,5470,8941,9346,10373,9128,3576,2195,8225,1454,1492,3567,2259,4840,70866
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1982,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,0,9,11,25,26,33,7,4,14,7,4,17,49,19,225
SAMUN B'KAWAN B'S/API,0,3,2,2,12,6,1,0,11,2,0,4,5,0,48
SAMUN B'KAWAN  T/B'S/API,0,7,70,44,102,101,17,4,23,1,2,7,1,5,384
SAMUN BERSENJATAPI,0,41,120,19,93,60,20,11,73,2,2,18,15,3,477
SAMUN TANPA B'S/API,0,90,810,437,1018,532,170,51,276,11,31,120,26,29,3601
ROGOL,0,39,29,61,40,61,20,8,39,11,19,29,60,26,442
MENCEDERAKAN ,0,128,146,243,189,245,115,88,224,58,30,108,148,209,1931
JUM JEN. KEKERASAN,0,317,1188,831,1480,1038,350,166,660,92,88,303,304,291,7108
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,0,140,315,520,675,745,281,103,408,82,100,230,149,142,3890
PECAH RUMAH MALAM,0,1218,1524,2220,1987,2395,880,374,2032,465,488,1012,807,543,15945
CURI MOTOLORI / VAN,0,3,6,34,48,48,10,5,33,2,1,23,8,1,222
CURI MOTOKAR,0,48,140,150,703,314,48,22,168,24,10,67,36,34,1764
CURI MOTOSIKAL,0,807,726,780,1578,983,341,203,1058,380,244,383,42,199,7724
CURI BASIKAL,0,701,797,1282,316,588,149,242,341,178,220,227,25,727,5793
LAIN - LAIN KECURIAN,0,1729,2782,3216,4100,2943,1171,861,2449,471,523,1227,1148,2612,25232
JUM JEN. HARTABENDA,0,4646,6290,8202,9407,8016,2880,1810,6489,1602,1586,3169,2215,4258,60570
JUMLAH JENAYAH INDEKS,0,4963,7478,9033,10887,9054,3230,1976,7149,1694,1674,3472,2519,4549,67678
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1983,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,0,9,17,29,37,32,13,4,35,9,5,22,61,30,303
SAMUN B'KAWAN B'S/API,0,2,2,3,8,5,5,1,9,1,0,6,6,2,50
SAMUN B'KAWAN  T/B'S/API,0,8,65,20,156,70,13,3,16,3,1,13,4,4,376
SAMUN BERSENJATAPI,0,55,121,35,185,112,24,9,53,10,2,37,19,6,668
SAMUN TANPA B'S/API,0,93,798,497,1406,577,154,85,364,19,47,108,62,32,4242
ROGOL,0,47,30,65,51,60,19,14,32,20,30,14,55,23,460
MENCEDERAKAN ,0,123,210,259,265,240,165,66,257,47,42,104,177,104,2059
JUM JEN. KEKERASAN,0,337,1243,908,2108,1096,393,182,766,109,127,304,384,201,8158
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,0,174,343,556,863,751,334,107,446,100,116,295,251,56,4392
PECAH RUMAH MALAM,0,1294,1545,2441,2519,2501,904,428,2062,544,464,918,1158,607,17385
CURI MOTOLORI / VAN,0,8,5,22,77,43,13,3,24,4,4,25,12,2,242
CURI MOTOKAR,0,21,92,137,810,344,51,25,170,9,16,50,73,31,1829
CURI MOTOSIKAL,0,624,660,1099,2701,1342,403,258,1325,315,181,380,104,208,9600
CURI BASIKAL,0,590,660,1006,308,465,155,195,344,156,176,202,140,671,5068
LAIN - LAIN KECURIAN,0,1656,3111,3237,5776,2672,1159,869,2295,422,495,1097,1688,2558,27035
JUM JEN. HARTABENDA,0,4367,6416,8498,13054,8118,3019,1885,6666,1550,1452,2967,3426,4133,65551
JUMLAH JENAYAH INDEKS,0,4704,7659,9406,15162,9214,3412,2067,7432,1659,1579,3271,3810,4334,73709
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1984,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,0,10,17,32,46,27,10,5,29,7,6,14,67,23,293
SAMUN B'KAWAN B'S/API,0,4,3,2,11,12,4,1,6,2,,1,13,2,61
SAMUN B'KAWAN  T/B'S/API,0,5,46,32,212,67,11,3,50,1,3,7,20,3,460
SAMUN BERSENJATAPI,0,37,139,48,247,131,16,13,53,7,8,21,35,5,760
SAMUN TANPA B'S/API,0,93,841,449,1735,726,154,79,356,38,23,86,84,46,4710
ROGOL,0,53,38,44,50,47,21,15,38,19,20,35,66,24,470
MENCEDERAKAN ,0,139,252,238,295,249,118,54,259,73,40,119,222,105,2163
JUM JEN. KEKERASAN,0,341,1336,845,2596,1259,334,170,791,147,100,283,507,208,8917
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,0,200,248,543,1067,858,279,94,445,101,96,220,257,70,4478
PECAH RUMAH MALAM,0,1138,1715,2409,2815,2441,879,504,2243,673,572,965,1469,607,18430
CURI MOTOLORI / VAN,0,8,14,30,88,68,19,7,51,9,3,22,43,10,372
CURI MOTOKAR,0,38,133,132,905,472,60,38,242,20,11,47,121,52,2271
CURI MOTOSIKAL,0,670,951,1229,3357,1456,396,241,1617,342,213,377,130,301,11280
CURI BASIKAL,0,461,826,942,429,566,153,160,341,182,161,162,89,567,5039
LAIN - LAIN KECURIAN,0,1650,3434,3484,5755,2442,1010,679,1925,429,428,1042,2166,2645,27089
JUM JEN. HARTABENDA,0,4165,7321,8769,14416,8303,2796,1723,6864,1756,1484,2835,4275,4252,68959
JUMLAH JENAYAH INDEKS,0,4506,8657,9614,17012,9562,3130,1893,7655,1903,1584,3118,4782,4460,77876
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1985,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,0,15,25,32,55,42,13,5,37,8,7,10,57,21,327
SAMUN B'KAWAN B'S/API,0,3,2,2,11,14,1,0,6,0,0,0,16,0,55
SAMUN B'KAWAN  T/B'S/API,0,2,70,65,248,118,19,4,74,2,1,19,4,6,632
SAMUN BERSENJATAPI,0,40,253,33,254,137,20,18,125,10,3,29,28,0,950
SAMUN TANPA B'S/API,0,114,1526,595,2042,840,184,81,523,23,22,158,99,37,6244
ROGOL,0,41,50,59,42,63,28,10,44,37,16,38,75,27,530
MENCEDERAKAN ,0,144,297,309,400,277,205,67,357,107,55,132,227,107,2684
JUM JEN. KEKERASAN,0,359,2223,1095,3052,1491,470,185,1166,187,104,386,506,198,11422
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,0,184,478,591,1188,990,317,101,438,160,83,224,245,93,5092
PECAH RUMAH MALAM,0,1173,2208,2584,3309,2946,1028,609,2407,657,574,1051,1274,593,20413
CURI MOTOLORI / VAN,0,6,9,34,164,70,23,4,77,15,2,34,21,7,466
CURI MOTOKAR,0,34,145,150,1280,661,67,37,376,36,19,84,183,68,3140
CURI MOTOSIKAL,0,683,1592,1343,3749,1628,560,307,2285,226,201,522,170,388,13654
CURI BASIKAL,0,456,899,924,306,519,128,112,333,148,108,218,84,438,4673
LAIN - LAIN KECURIAN,0,1641,4583,3289,6674,3067,1131,760,2537,512,440,1191,1776,2704,30305
JUM JEN. HARTABENDA,0,4177,9914,8915,16670,9881,3254,1930,8453,1754,1427,3324,3753,4291,77743
JUMLAH JENAYAH INDEKS,0,4536,12137,10010,19722,11372,3724,2115,9619,1941,1531,3710,4259,4489,89165
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1986,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,0,10,25,38,45,47,9,11,68,11,8,11,77,26,386
SAMUN B'KAWAN B'S/API,0,4,5,3,11,8,2,0,9,0,0,0,13,1,56
SAMUN B'KAWAN  T/B'S/API,0,6,25,28,249,133,23,5,58,4,0,24,20,1,576
SAMUN BERSENJATAPI,0,43,206,59,324,133,23,16,134,7,0,16,58,3,1022
SAMUN TANPA B'S/API,0,135,1432,543,2678,1210,253,81,652,40,57,187,116,32,7416
ROGOL,0,57,49,85,125,67,37,16,61,27,24,28,71,41,688
MENCEDERAKAN ,0,124,234,388,331,308,176,97,317,125,62,131,204,120,2617
JUM JEN. KEKERASAN,0,379,1976,1144,3763,1906,523,226,1299,214,151,397,559,224,12761
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,0,166,547,615,1099,986,300,116,391,183,113,214,381,60,5171
PECAH RUMAH MALAM,0,1307,2090,2666,3237,2856,1076,577,2189,731,649,1167,1278,550,20373
CURI MOTOLORI / VAN,0,9,45,37,114,76,25,7,135,17,11,27,37,18,558
CURI MOTOKAR,0,53,203,260,1389,750,112,58,573,24,14,86,212,79,3813
CURI MOTOSIKAL,0,881,2047,1608,3774,1946,643,448,2747,365,296,675,173,453,16056
CURI BASIKAL,0,457,825,758,226,307,114,178,284,127,141,141,52,222,3832
LAIN - LAIN KECURIAN,0,1632,4220,4032,7364,3379,1464,745,2523,785,618,1124,1756,2869,32511
JUM JEN. HARTABENDA,0,4505,9977,9976,17203,10300,3734,2129,8842,2232,1842,3434,3889,4251,82314
JUMLAH JENAYAH INDEKS,0,4884,11953,11120,20966,12206,4257,2355,10141,2446,1993,3831,4448,4475,95075
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1987,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,1,17,29,41,47,32,14,7,53,4,5,11,71,30,362
SAMUN B'KAWAN B'S/API,0,2,2,2,8,12,5,0,10,0,0,4,25,1,71
SAMUN B'KAWAN  T/B'S/API,1,10,77,24,190,109,18,6,72,2,1,12,14,6,542
SAMUN BERSENJATAPI,3,58,86,58,221,119,29,14,156,2,2,23,76,1,848
SAMUN TANPA B'S/API,14,90,1178,565,2011,1053,172,125,656,19,17,96,122,28,6146
ROGOL,15,57,20,86,80,82,28,26,63,23,21,40,95,32,668
MENCEDERAKAN ,9,111,233,306,404,366,158,74,384,86,42,117,231,126,2647
JUM JEN. KEKERASAN,43,345,1625,1082,2961,1773,424,252,1394,136,88,303,634,224,11284
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,40,131,353,451,819,938,208,119,415,151,64,254,252,91,4286
PECAH RUMAH MALAM,196,878,1661,1959,2459,3257,1006,760,2255,471,310,895,1283,527,17917
CURI MOTOLORI / VAN,1,7,14,40,120,74,21,6,124,4,6,27,49,16,509
CURI MOTOKAR,9,46,200,258,1302,851,109,45,598,27,13,121,241,78,3898
CURI MOTOSIKAL,110,863,1497,1295,2547,1896,593,412,2375,325,129,615,207,514,13378
CURI BASIKAL,40,367,641,826,176,360,122,179,262,94,29,134,57,188,3475
LAIN - LAIN KECURIAN,247,1324,3782,3361,6200,3544,1496,770,2911,603,223,1154,1960,2889,30464
JUM JEN. HARTABENDA,643,3616,8148,8190,13623,10920,3555,2291,8940,1675,774,3200,4049,4303,73927
JUMLAH JENAYAH INDEKS,686,3961,9773,9272,16584,12693,3979,2543,10334,1811,862,3503,4683,4527,85211
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NOTA :  STATISTIK BAGI KONTINJEN PERLIS PADA TAHUN 1980 HINGGA 1986 ADALAH ,,,,,,,,,,,,,,,
"                  DIBAWAH PENTADBIRAN (POLIS)  KONTINJEN KEDAH",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1988,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,4,12,27,30,48,46,8,8,46,8,9,15,71,14,346
SAMUN B'KAWAN B'S/API,1,4,3,3,6,12,0,3,12,1,1,4,35,0,85
SAMUN B'KAWAN  T/B'S/API,0,5,77,16,125,102,13,5,59,0,0,11,11,1,425
SAMUN BERSENJATAPI,3,25,82,34,204,90,19,15,171,1,0,21,103,2,770
SAMUN TANPA B'S/API,13,99,971,608,1550,995,182,110,740,14,12,95,87,42,5518
ROGOL,7,38,40,64,76,84,24,28,77,20,13,42,74,24,611
MENCEDERAKAN ,12,107,325,306,305,355,156,66,412,79,45,100,233,115,2616
JUM JEN. KEKERASAN,40,290,1525,1061,2314,1684,402,235,1517,123,80,288,614,198,10371
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,19,109,388,438,756,794,245,93,449,117,35,159,243,65,3910
PECAH RUMAH MALAM,193,846,1618,1720,2245,2612,951,619,2237,353,223,731,1120,392,15860
CURI MOTOLORI / VAN,2,3,14,40,160,130,25,17,174,7,6,29,30,21,658
CURI MOTOKAR,6,65,196,258,1076,817,105,80,459,17,6,41,222,94,3442
CURI MOTOSIKAL,147,621,1443,1198,2224,1684,514,356,2426,244,129,521,121,419,12047
CURI BASIKAL,49,271,589,684,180,359,90,201,270,45,22,89,58,251,3158
LAIN - LAIN KECURIAN,332,1219,3812,3115,5103,3386,1411,722,3214,380,172,812,1685,3626,28989
JUM JEN. HARTABENDA,748,3134,8060,7453,11744,9782,3341,2088,9229,1163,593,2382,3479,4868,68064
JUMLAH JENAYAH INDEKS,788,3424,9585,8514,14058,11466,3743,2323,10746,1286,673,2670,4093,5066,78435
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1989,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,0,12,19,35,37,43,7,8,30,10,5,15,76,25,322
SAMUN B'KAWAN B'S/API,0,2,0,2,6,11,1,1,19,1,0,5,17,0,65
SAMUN B'KAWAN  T/B'S/API,0,1,43,19,83,80,13,12,61,1,2,20,10,0,345
SAMUN BERSENJATAPI,4,13,80,29,174,100,16,13,130,5,0,16,63,1,644
SAMUN TANPA B'S/API,8,69,734,509,1256,840,152,90,545,9,16,125,37,29,4419
ROGOL,10,36,32,53,70,66,34,29,57,37,25,45,69,13,576
MENCEDERAKAN ,24,96,245,303,280,371,143,57,403,70,39,99,211,134,2475
JUM JEN. KEKERASAN,46,229,1153,950,1906,1511,366,210,1245,133,87,325,483,202,8846
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,26,111,367,430,564,818,274,100,379,90,27,122,179,63,3550
PECAH RUMAH MALAM,178,849,1354,1577,1725,2261,870,548,1801,363,184,613,706,381,13410
CURI MOTOLORI / VAN,1,10,16,23,148,83,27,11,180,6,5,29,18,38,595
CURI MOTOKAR,5,48,264,171,988,745,68,66,479,23,13,61,177,80,3188
CURI MOTOSIKAL,95,475,986,997,1956,1603,444,286,1969,274,142,508,90,461,10286
CURI BASIKAL,39,236,570,572,102,305,85,130,147,62,10,92,20,155,2525
LAIN - LAIN KECURIAN,268,1071,3047,2770,3889,2576,1097,674,2163,378,155,717,1216,3021,23042
JUM JEN. HARTABENDA,612,2800,6604,6540,9372,8391,2865,1815,7118,1196,536,2142,2406,4199,56596
JUMLAH JENAYAH INDEKS,658,3029,7757,7490,11278,9902,3231,2025,8363,1329,623,2467,2889,4401,65442
